week,week_end,economy_axis,markets_axis,gap
2022-W11,2022-03-20,-0.3663,0.14557736873637753,0.5118773687363776
2022-W12,2022-03-27,-0.3663,0.0016435904140557223,0.3679435904140557
2022-W13,2022-04-03,-0.45149999999999996,-0.05495425145403009,0.39654574854596986
2022-W14,2022-04-10,-0.45149999999999996,0.15215179442890792,0.6036517944289079
2022-W15,2022-04-17,-0.45149999999999996,0.3643124180990583,0.8158124180990582
2022-W16,2022-04-24,-0.45149999999999996,-0.013028856119620768,0.43847114388037917
2022-W17,2022-05-01,-0.3532,0.18184160198109853,0.5350416019810985
2022-W18,2022-05-08,-0.3532,0.08050057262359803,0.43370057262359807
2022-W19,2022-05-15,-0.3532,0.09518971243841243,0.4483897124384124
2022-W20,2022-05-22,-0.3532,-0.006154526062337164,0.34704547393766283
2022-W21,2022-05-29,-0.3532,0.22000958408664423,0.5732095840866442
2022-W22,2022-06-05,-0.1777,0.624679439968441,0.802379439968441
2022-W23,2022-06-12,-0.1777,0.8312981800204264,1.0089981800204264
2022-W24,2022-06-19,-0.1777,0.8289851949935408,1.006685194993541
2022-W25,2022-06-26,-0.1777,0.7270166190860446,0.9047166190860446
2022-W26,2022-07-03,-0.38399999999999995,0.35005850155507795,0.7340585015550779
2022-W27,2022-07-10,-0.38399999999999995,0.3300809172892347,0.7140809172892346
2022-W28,2022-07-17,-0.38399999999999995,0.16811538405710263,0.5521153840571026
2022-W29,2022-07-24,-0.38399999999999995,0.20301068185099294,0.5870106818509929
2022-W30,2022-07-31,-0.38399999999999995,0.39328037489643247,0.7772803748964324
2022-W31,2022-08-07,-0.33219999999999994,0.5446361624046081,0.876836162404608
2022-W32,2022-08-14,-0.33219999999999994,0.4979739015682306,0.8301739015682306
2022-W33,2022-08-21,-0.33219999999999994,0.2269818874625853,0.5591818874625852
2022-W34,2022-08-28,-0.33219999999999994,0.03726515739835434,0.3694651573983543
2022-W35,2022-09-04,-0.28279999999999994,0.22422626613534963,0.5070262661353495
2022-W36,2022-09-11,-0.28279999999999994,0.6094769474412847,0.8922769474412846
2022-W37,2022-09-18,-0.28279999999999994,-0.05417390976878136,0.22862609023121858
